"Geslacht";"Persoonskenmerken";"Perioden";"Beroepsbevolking (x 1 000)";"Werkzame beroepsbevolking/Werkzame beroepsbevolking (x 1 000)";"Werkloze beroepsbevolking (x 1 000)"
"Vrouwen";"Totaal";"1959";"    1149";"    1129";"      20"
"Vrouwen";"Totaal";"1960";"    1163";"    1147";"      16"
"Vrouwen";"Totaal";"1961";"    1179";"    1165";"      13"
"Vrouwen";"Totaal";"1962";"    1217";"    1201";"      16"
"Vrouwen";"Totaal";"1963";"    1241";"    1225";"      16"
"Vrouwen";"Totaal";"1964";"    1240";"    1224";"      16"
"Vrouwen";"Totaal";"1965";"    1285";"    1269";"      17"
"Vrouwen";"Totaal";"1966";"    1318";"    1299";"      19"
"Vrouwen";"Totaal";"1967";"    1300";"    1271";"      28"
"Vrouwen";"Totaal";"1968";"    1334";"    1304";"      30"
"Vrouwen";"Totaal";"1969";"    1390";"    1363";"      27"
"Vrouwen";"Totaal";"1970";"    1396";"    1368";"      28"
"Vrouwen";"Totaal";"1971";"    1453";"    1417";"      36"
"Vrouwen";"Totaal";"1972";"    1437";"    1387";"      50"
"Vrouwen";"Totaal";"1973";"    1486";"    1429";"      57"
"Vrouwen";"Totaal";"1974";"    1498";"    1430";"      68"
"Vrouwen";"Totaal";"1975";"    1491";"    1398";"      93"
"Vrouwen";"Totaal";"1976";"    1555";"    1454";"     101"
"Vrouwen";"Totaal";"1977";"    1577";"    1473";"     104"
"Vrouwen";"Totaal";"1978";"    1628";"    1511";"     117"
"Vrouwen";"Totaal";"1979";"    1708";"    1585";"     123"
"Vrouwen";"Totaal";"1980";"    1697";"    1567";"     130"
"Vrouwen";"Totaal";"1981";"    1746";"    1591";"     156"
"Vrouwen";"Totaal";"1982";"    1767";"    1568";"     198"
"Vrouwen";"Totaal";"1983";"    1822";"    1593";"     229"
"Vrouwen";"Totaal";"1984";"    1824";"    1597";"     227"
"Vrouwen";"Totaal";"1985";"    1878";"    1654";"     224"
"Vrouwen";"Totaal";"1986";"    1977";"    1749";"     228"
"Vrouwen";"Totaal";"1987";"    1980";"    1721";"     259"
"Vrouwen";"Totaal";"1988";"    2070";"    1814";"     257"
"Vrouwen";"Totaal";"1989";"    2104";"    1858";"     246"
"Vrouwen";"Totaal";"1990";"    2198";"    1958";"     240"
